Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
HOT Automatic Portable Silicon Milk Pump Wireless Rechargeable Single Electric Breast Pump,19800,24750,20%,Generic,4.1,84,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/9293473/1.jpg?5237","https://www.jumia.com.ng/generic-hot-automatic-portable-silicon-milk-pump-wireless-rechargeable-single-electric-breast-pump-374392953.html"
Catpapa 0-5Years Baby Girls Long Sleeve Tees With Skirt,8000,20800,62%,N/A,3.7,13,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/7213704/1.jpg?0306","https://www.jumia.com.ng/catpapa-0-5years-baby-girls-long-sleeve-tees-with-skirt-407312707.html"
Catpapa 3Pcs 0-24Months Baby Girls Tees With Shorts And Headband,7680,20800,63%,N/A,5,2,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/4213704/1.jpg?0318","https://www.jumia.com.ng/catpapa-3pcs-0-24months-baby-girls-tees-with-shorts-and-headband-407312409.html"
Electric Duck Slide Track With Lights And Music,26800,28800,7%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/3471704/1.jpg?6859","https://www.jumia.com.ng/generic-electric-duck-slide-track-with-lights-and-music-407174342.html"
2 In 1 Absorbent Towels -Big And Small,6499,N/A,N/A,Generic,5,3,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/2947514/1.jpg?3307","https://www.jumia.com.ng/2-in-1-absorbent-towels-big-and-small-generic-mpg11418464.html"
Catpapa 3-24 month baby girl summer/winter dress with hairband flowing cuffs and cartoon rabbit print.,8000,20800,62%,N/A,4.4,7,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0699604/1.jpg?0357","https://www.jumia.com.ng/catpapa-3-24-month-baby-girl-summerwinter-dress-with-hairband-flowing-cuffs-and-cartoon-rabbit-print.-406996014.html"
0-3 Years Baby Boys Summer Clothes Set MINI BOSS Short Sleeve Tops Ripped Shorts,10205,27145,62%,N/A,3.8,110,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/3142201/1.jpg?4688","https://www.jumia.com.ng/fashion-0-3-years-baby-boys-summer-clothes-set-mini-boss-short-sleeve-tops-ripped-shorts-102241302.html"
Baby Bath Set - 7pcs - Mint Green,15530,17000,9%,Generic,4.4,329,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/670514/1.jpg?1948","https://www.jumia.com.ng/baby-bath-set-7pcs-green-cherish-mpg1189856.html"
Catpapa 3Pcs 3-18Months Baby Boys  Bodysuit With Overall And Hat,8000,20800,62%,N/A,4.8,4,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/5883704/1.jpg?0353","https://www.jumia.com.ng/catpapa-3pcs-3-18months-baby-boys-bodysuit-with-overall-and-hat-407388558.html"
Catpapa Baby Boys T-Shirt With Shorts Solid Color Letter Printing,7200,20800,65%,N/A,3.5,2,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/2628604/1.jpg?5684","https://www.jumia.com.ng/catpapa-baby-boys-t-shirt-with-shorts-solid-color-letter-printing-406826212.html"
