Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Mateamoda 3 In 1 Women Bag Crossbody Bag Handbag Underarm Bag Ladies Sling Purse Tote Hobo Bag Female Messenger Shoulder Bag Wallet Satchel - Black,13816,35843,61%,Mateamoda,3.4,2147,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/545695/1.jpg?1444","https://www.jumia.com.ng/mateamoda-3-in-1-women-bag-crossbody-bag-handbag-underarm-bag-ladies-sling-purse-tote-hobo-bag-female-messenger-shoulder-bag-wallet-satchel-black-59654525.html"
4 In 1 Boxers For Men (Medium And Small WAISTS ONLY),2800,4500,38%,N/A,3.1,591,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/0842053/1.jpg?2719","https://www.jumia.com.ng/fashion-4-in-1-boxers-for-men-medium-and-small-waists-only-350248074.html"
Six Pieces-in-1 Quality Ankle Socks,1580,4000,61%,N/A,4.1,10064,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/332204/1.jpg?3519","https://www.jumia.com.ng/fashion-six-pieces-in-1-quality-ankle-socks-40223327.html"
TOUPHY Men's Fashion Sneakers Running Shoes,9025,33328,73%,N/A,4,773,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/1706311/1.jpg?4818","https://www.jumia.com.ng/touphy-mens-fashion-sneakers-running-shoes-113607132.html"
TOUPHY T-Shirts +Shorts 100% Cotton Men's Short Sleeve Set-White,9025,10832 -  30000,70%,N/A,3.4,1702,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/986649/1.jpg?6662","https://www.jumia.com.ng/touphy-t-shirts-shorts-100-cotton-mens-short-sleeve-set-white-94668946.html"
TOUPHY T-Shirts +Shorts 100% Cotton Men's Short Sleeve Set-Black,7910,16496,52%,N/A,3.1,614,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4863942/1.jpg?6479","https://www.jumia.com.ng/touphy-t-shirts-shorts-100-cotton-mens-short-sleeve-set-black-249368408.html"
STY 15.6" Men Bags Backpack Oxford Cloth Bag Red Dot Rucksack - Grey,8310,15700,47%,N/A,3.1,220,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/9016153/1.jpg?3526","https://www.jumia.com.ng/sty-15.6-men-bags-backpack-oxford-cloth-bag-red-dot-rucksack-grey-351610928.html"
ASHION Martin Boots: Sleek Durable And Stylish Footwear For Every Occasion!,17110,31372,45%,N/A,3.9,477,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/6526372/1.jpg?3403","https://www.jumia.com.ng/ashion-martin-boots-sleek-durable-and-stylish-footwear-for-every-occasion-273625652.html"
ASHION 2024 Men's Casual Shoes Big Size 39-48,11185,20354,45%,N/A,4.2,2513,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/0283522/1.jpg?9723","https://www.jumia.com.ng/ashion-2024-mens-casual-shoes-big-size-39-48-225382092.html"
Curren Exotic Leather Strap Military Sports Men Watch-Coffee Brown,5499,N/A,N/A,N/A,3.7,715,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/319005/1.jpg?6483","https://www.jumia.com.ng/curren-exotic-leather-strap-military-sports-men-watch-coffee-brown-50091396.html"
