Current Price,Original Price,Discount,Brand,Rating,Review Count
13816,35843,61%,Mateamoda,3.4,2154
7990,9821,19%,Mateamoda,3.5,111
16478,36618,55%,N/A,4,77
1580,4000,61%,N/A,4.1,10137
2800,4500,38%,N/A,3,669
8186,10832 -  30000,73%,N/A,3.4,1722
3925,32703,88%,N/A,4,703
8186,16496,50%,N/A,3.1,633
16788,31372,46%,N/A,3.9,496
8433,15700,46%,N/A,3.1,245
5499,N/A,N/A,N/A,3.8,734
11060,20354,46%,N/A,4.2,2531
9420,14868,37%,N/A,3.2,356
13941,17990,23%,Fashion,3.9,423
5800 -  5900,N/A,N/A,N/A,3.6,393
13980,18500,24%,N/A,4,4601
10205,19625 -  20080,49%,N/A,4,598
4830,8179,41%,N/A,3.7,707
4997,N/A,N/A,N/A,3.5,723
1407,3690,62%,ARHANORY,3,107
13726,21264,35%,N/A,3.8,426
7341,9464,22%,N/A,3.3,244
11356,20856,46%,N/A,4.3,226
2538,4503,44%,Fashion,3.6,148
7499,N/A,N/A,Curren,3.8,152
5718,9479,40%,Generic,3.8,754
16590,48199,66%,N/A,4,416
14400 -  16689,36576,61%,N/A,4.1,644
8200,15421,47%,N/A,3.2,325
13980,18890,26%,N/A,4.1,1350
12838,21264,40%,N/A,3.9,226
13980,18890,26%,N/A,4.2,493
12800 -  15504,27088 -  35072,64%,N/A,3.8,364
14220,38261,63%,N/A,4,958
6500,8000,19%,N/A,3.5,107
4752,9312,49%,N/A,3.5,62
7840 -  11751,13568 -  20768,43%,N/A,3.9,1933
3700 -  3900,N/A,N/A,N/A,3.5,121
9678,19560,51%,N/A,3.4,233
7200 -  8690,13776 -  14528,48%,N/A,4.1,474
7505 -  7900,12909,42%,N/A,N/A,N/A
14319,34428,58%,N/A,N/A,N/A
4211,7850,46%,N/A,N/A,N/A
3160 -  4097,6257 -  6920,49%,N/A,N/A,N/A
3993,10063,60%,Fashion,N/A,N/A
8015,23864,66%,N/A,N/A,N/A
4493,40875,89%,Fashion,N/A,N/A
8015,23864,66%,N/A,N/A,N/A
4928,8100,39%,N/A,N/A,N/A
3640,7000,48%,Aprillan,N/A,N/A
8379,23864,65%,N/A,N/A,N/A
20000,N/A,N/A,N/A,N/A,N/A
9022,14931,40%,N/A,3.7,64
3160,9243,66%,N/A,3.9,40
7900 -  8295,11060,29%,N/A,3.3,128
5352,9904,46%,Fashion,3.7,107
14400,25104,43%,N/A,4.1,193
8200,14046,42%,N/A,3.7,60
5481,8320,34%,N/A,3.7,1034
8200,12640,35%,N/A,3.5,74
8888,12350,28%,N/A,3.1,107
11142,15888,30%,BINBOND,3.9,684
11751,20426,42%,N/A,4,346
7229,13799,48%,N/A,4,263
5026,9480,47%,N/A,3.6,196
5700,9000,37%,Fashion,3.5,387
9480,33536,72%,N/A,4,400
8137,35487,77%,N/A,3.5,146
9200,14350,36%,N/A,3.2,172
8028,12560 -  28400,72%,N/A,3.1,105
10999,50000,78%,N/A,3.7,107
7200,7400,3%,N/A,3.9,62
16485,29139,43%,N/A,4.3,2706
6153,10349,41%,Generic,3.3,295
7209,12953 -  15779,54%,N/A,4.1,843
3950 -  5198,5957,34%,N/A,3.4,154
5571,5990,7%,N/A,3.4,52
6410,11600,45%,N/A,3.7,194
7173,9338 -  9670,26%,N/A,3.6,489
4849,9900,51%,Fashion,3.3,96
7500,12640,41%,N/A,3.1,155
12999,24000,46%,N/A,4.6,17
7341,9584,23%,N/A,3.1,284
8411,14046,40%,N/A,3.4,64
1990,5500,64%,Ch Industry,3.3,465
4009,14331,72%,N/A,3.9,86
7406,14648,49%,N/A,4.2,430
8500,N/A,N/A,Fashion,3.9,72
2835,4032,30%,Fashion,4,513
3160 -  3950,9243,66%,N/A,4,41
10882,21725,50%,N/A,4.1,108
3600 -  4200,N/A,N/A,N/A,3.9,19
7505 -  7900,12909,42%,N/A,N/A,N/A
14319,34428,58%,N/A,N/A,N/A
4211,7850,46%,N/A,N/A,N/A
3160 -  4097,6257 -  6920,49%,N/A,N/A,N/A
3993,10063,60%,Fashion,N/A,N/A
8015,23864,66%,N/A,N/A,N/A
4493,40875,89%,Fashion,N/A,N/A
8015,23864,66%,N/A,N/A,N/A
