Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Hikers 32'' Frameless Android Smart HD LED TV - Black + 1 Year Warranty,113400,144949,22%,N/A,4,753,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/6271583/1.jpg?5337","https://www.jumia.com.ng/hikers-32-frameless-android-smart-hd-led-tv-black-1-year-warranty-385172656.html"
Hikers 32'' Inches Frameless HD LED TV-Black,92780,122640,24%,Hikers,4.2,189,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/3961583/1.jpg?4014","https://www.jumia.com.ng/hikers-32-inches-frameless-hd-led-tv-black-385169336.html"
Sonivia Powerful Bluetooth Home Theater with extra bass,33990,35715,5%,Generic,4,725,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1983504/1.jpg?5539","https://www.jumia.com.ng/sonivia-bluetooth-home-theater-sm11-generic-mpg10216849.html"
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black-One Year Warranty,195875,215544,9%,N/A,4.2,331,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/4471583/1.jpg?7247","https://www.jumia.com.ng/hikers-43-inch-frameless-android-smart-fhd-led-tv-black-one-year-warranty-385174476.html"
Zealot S67 Portable 75W Wireless Bluetooth Speaker,59999,75000,20%,Zealot,4.3,1037,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/2841083/1.jpg?3956","https://www.jumia.com.ng/s67-waterproof-bluetooth-bass-speaker-zealot-mpg9491499.html"
TV Box MXQ PRO 4K Android 12 WiFi 1+8,18242,221200,92%,Generic,3.8,365,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/2661052/1.jpg?8289","https://www.jumia.com.ng/generic-tv-box-mxq-pro-4k-android-12-wifi-18-250166200.html"
TCL 55 Inches UHD 4k Google Smart TV (55P635) + 1 Year Warranty,460000,500000,8%,TCL,4.5,81,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/5518204/1.jpg?3612","https://www.jumia.com.ng/tcl-55-inches-uhd-4k-google-smart-tv-55p635-1-year-warranty-402815548.html"
Zealot S67 Portable 60W Wireless Bluetooth Speaker,69995,155000,55%,N/A,4.2,357,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/2950272/1.jpg?6369","https://www.jumia.com.ng/s67-waterproof-bluetooth-super-bass-speaker-zealot-mpg2439556.html"
Infinity 32"INCHES SMART ANDROID TV + Free Wall Hanger,139499,188000,26%,N/A,4.2,91,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/5306853/1.jpg?9108","https://www.jumia.com.ng/infinity-32inches-smart-android-tv-free-wall-hanger-358603539.html"
Binatone Automatic Voltage Protector (AVP-1300) - White + 2 Years Warranty,12640,15170,17%,N/A,4.4,343,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/2854031/1.jpg?5807","https://www.jumia.com.ng/binatone-automatic-voltage-protector-avp-1300-white-2-years-warranty-130458236.html"
itel 5 Sockets 3Metre Cord Power Strip Extension Box,6750,10000,33%,itel,4.6,603,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0489081/1.jpg?9877","https://www.jumia.com.ng/itel-5-sockets-3metre-cord-power-strip-extension-box-180984010.html"
Imenso Sounds Of Camden -Bluetooth Rechargeable Soundbar With Inbuilt Woofer Extralong 96CM 3.1CH Bluetooth 5.2 .IMS-S3001,37810,76000,50%,Imenso,4.4,51,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/0668804/1.jpg?1121","https://www.jumia.com.ng/imenso-sounds-of-camden-bluetooth-rechargeable-soundbar-with-inbuilt-woofer-extralong-96cm-3.1ch-bluetooth-5.2-.ims-s3001-408866062.html"
Hikers - 24” HD Digital LED TV - Black 1YR WRTY,77699,257813,70%,Hikers,4,44,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/3075653/1.jpg?9908","https://www.jumia.com.ng/hikers-24-hd-digital-led-tv-black-1yr-wrty-356570378.html"
Hikers 50'' Inch Frameless Android Smart 4K LED TV-Black+WALLMOUNT - One Year Warranty,298970,371663,20%,N/A,4.2,41,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/4571583/1.jpg?6283","https://www.jumia.com.ng/hikers-50-inch-frameless-android-smart-4k-led-tv-blackwallmount-one-year-warranty-385175460.html"
Djack Super Powerful Bluetooth Home Theatre System (D3L) -  Black,51500,52000,1%,Djack,4,186,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/8341442/1.jpg?5436","https://www.jumia.com.ng/djack-super-powerful-bluetooth-home-theatre-system-d3l-black-244143835.html"
STONE-TECH TV Guard Fridge TV Voltage Surge Protector,4300,9000,52%,STONE-TECH,4.3,416,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/1143941/1.jpg?6408","https://www.jumia.com.ng/tv-guard-fridge-tv-voltage-surge-protector-generic-mpg11119629.html"
P9/12 Wireless Bluetooth Headset Headphone-Black,7800,10999,29%,N/A,3.8,33,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/5543804/1.jpg?4166","https://www.jumia.com.ng/generic-p912-wireless-bluetooth-headset-headphone-black-408345582.html"
3D VR Headset/Virtual Reality For All Phone,9550,18740,49%,Generic,3.4,137,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/6208372/1.jpg?7782","https://www.jumia.com.ng/generic-3d-vr-headsetvirtual-reality-for-all-phone-273802651.html"
UFC 32"INCHES SMART FRAMELESS ANDROID TV 2 YEARS WARRANTY,129990,N/A,N/A,UFC,4.5,55,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/3675473/1.jpg?8948","https://www.jumia.com.ng/ufc-32inches-smart-frameless-android-tv-2-years-warranty-374576311.html"
Century 50 Inches VIDA Smart 4K UHD TV (CTV-50) + 1 YEAR WARRANTY,319999,446927,28%,N/A,4.4,27,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/0996104/1.jpg?5053","https://www.jumia.com.ng/50-inches-vida-smart-4k-uhd-tv-ctv-50-1-year-warranty-century-mpg9828651.html"
P9 Wireless Bluetooth Headset Headphone-Black,7150,12900,45%,Generic,4,52,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8689183/1.jpg?2358","https://www.jumia.com.ng/generic-p9-wireless-bluetooth-headset-headphone-black-381986813.html"
UFC 55 Inch 4K Ultra-HD Smart Freamless Android TV+ FREE WALL HANGER,365000,N/A,N/A,UFC,4.3,97,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/441768/1.jpg?4497","https://www.jumia.com.ng/ufc-55-inch-4k-ultra-hd-smart-freamless-android-tv-free-wall-hanger-86714488.html"
Mi+ NETFLIX Prime Video YouTube installed MXQ pro Smart Box with MI+ 32” LED Tv,143415,N/A,N/A,Mi+,3.9,48,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/1217393/1.jpg?8591","https://www.jumia.com.ng/mi-netflix-prime-video-youtube-installed-mxq-pro-smart-box-with-mi-32-led-tv-393712107.html"
Solid Bluetooth Home Theater 2 Years Warranty,43300,N/A,N/A,Generic,4.3,103,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/491417/1.jpg?0785","https://www.jumia.com.ng/bluetooth-home-theater-2-years-warranty-generic-mpg2092690.html"
Letv 32'' Inches Frameless HD LED TV-Black + 1 YEAR WARRANTY BW32LED-A01,100599,N/A,N/A,Letv,4,42,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/9391904/1.jpg?0486","https://www.jumia.com.ng/32-inches-frameless-hd-led-tv-black-1-year-warranty-letv-mpg10823411.html"
Amani 32”Smart UHD 4K TV+NetflixYoutubeAndroid+FREE GIFT,129850,199201,35%,Amani,4.2,105,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/7631152/1.jpg?1290","https://www.jumia.com.ng/amani-32smart-uhd-4k-tvnetflixyoutubeandroidfree-gift-251136712.html"
Oraimo Pods Pro Powerful Bass Tws Wireless Earbuds,6000,10000,40%,N/A,3.9,8,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/6442814/1.jpg?2367","https://www.jumia.com.ng/oraimo-pods-pro-powerful-bass-tws-wireless-earbuds-418244684.html"
Mobile Phone Led Light ( Influencer Light ),15500,N/A,N/A,N/A,4,13,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6158114/1.jpg?1465","https://www.jumia.com.ng/generic-mobile-phone-led-light-influencer-light-411851613.html"
Zealot S38 3D Hifi Stereo Sound Bluetooth Powerful Speake,37800,75000,50%,N/A,3.6,59,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/9303463/1.jpg?0902","https://www.jumia.com.ng/zealot-s38-3d-hifi-stereo-sound-bluetooth-powerful-speake-364303971.html"
TV BOX Android 12 TV Box M98-M9 - 8+128GB 4K 5G Home Video,25310,48089,47%,Generic,4.4,14,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7939093/1.jpg?1020","https://www.jumia.com.ng/generic-tv-box-android-12-tv-box-m98-m9-8128gb-4k-5g-home-video-390939716.html"
Wireless Remote Switch,24000,26000,8%,Generic,2.3,3,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/3938404/1.jpg?4389","https://www.jumia.com.ng/generic-wireless-remote-switch-404839369.html"
itel 4 Sockets 1.8Metre Cord Power Strip Extension Box,5950,9000,34%,itel,4.5,178,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/1779172/1.jpg?4531","https://www.jumia.com.ng/itel-4-sockets-1.8metre-cord-power-strip-extension-box-271977145.html"
AEC HIFI Bluetooth Headsets Built-In Microphone Noise Cancelling,14880,27632,46%,AEC,4.2,142,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/1795232/1.jpg?9279","https://www.jumia.com.ng/aec-hifi-bluetooth-headsets-built-in-microphone-noise-cancelling-232597195.html"
B39 Alto - Noise Cancelling Headphones Headset,7505,12700,41%,Generic,3.5,110,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/2211193/1.jpg?5164","https://www.jumia.com.ng/generic-b39-alto-noise-cancelling-headphones-headset-391112264.html"
Zealot 80W Super Bass Bluetooth Speaker With 16000mAh Battery  S97,118500,200000,41%,Zealot,4.1,129,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/1412592/1.jpg?2876","https://www.jumia.com.ng/zealot-80w-super-bass-bluetooth-speaker-with-16000mah-battery-s97-295214177.html"
Mi+ 2.1Ch Audio Sound Bar With Subwoofer High Bass,54990,N/A,N/A,Mi+,4,39,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/8149552/1.jpg?5006","https://www.jumia.com.ng/mi-2.1ch-audio-sound-bar-with-subwoofer-high-bass-255941813.html"
P9 Bluetooth Noise Cancelling Headphones - Black,6546,12700,48%,Generic,3.6,602,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/031081/1.jpg?4099","https://www.jumia.com.ng/p9-pro-max-bluetooth-noise-cancelling-headphones-black-generic-mpg4936497.html"
P9 Headphone Wireless Bluetooth Stereo Foldable - Red,6700,13500,50%,N/A,3.6,36,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/7601553/1.jpg?7128","https://www.jumia.com.ng/generic-p9-headphone-wireless-bluetooth-stereo-foldable-red-355106767.html"
Sonix 43 Inches  Super HD Android Smart Frameless TV + Wall Hanger,220850,240000,8%,Sonix,4.2,113,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/4324912/1.jpg?0924","https://www.jumia.com.ng/sonix-43-inches-super-hd-android-smart-frameless-tv-wall-hanger-219423440.html"
Guixia T2 Wireless Bluetooth Earphones Noise Reduction Touch Control Spherical OWS Headsets With Mic,6600,14834,56%,Guixia,4,13,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/1073904/1.jpg?1635","https://www.jumia.com.ng/guixia-t2-wireless-bluetooth-earphones-noise-reduction-touch-control-spherical-ows-headsets-with-mic-409370114.html"
2NLF 2nlf® Double Screen Full HD Security Camera With Alarm,24288,30816,21%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9163213/1.jpg?9991","https://www.jumia.com.ng/2nlf-2nlfr-double-screen-full-hd-security-camera-with-alarm-312361974.html"
Strong Phone And Camera Tripod Stand,33000,100000,67%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/3595411/1.jpg?4953","https://www.jumia.com.ng/generic-strong-phone-and-camera-tripod-stand-114595390.html"
D Marc WALL BRACKET FOR TV / TELEVISION - 32- 39 - 40-42-46-48-49-50-55-58’-60-65-TELEVISION TV WALL HANGER / BRACKET,4850,5700,15%,D Marc,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/3114612/1.jpg?0443","https://www.jumia.com.ng/d-marc-wall-bracket-for-tv-television-32-39-40-42-46-48-49-50-55-58-60-65-television-tv-wall-hanger-bracket-216411333.html"
2NLF 5G Wifi Security Cameras With LED Alarm 1080p Black,19201,30662,37%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/9163213/1.jpg?9892","https://www.jumia.com.ng/2nlf-5g-wifi-security-cameras-with-led-alarm-1080p-black-312361975.html"
2NLF PTZ Wifi IP Camera LED Bulb Security Surveillance Outdoor,18113,28803,37%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/9163213/1.jpg?1999","https://www.jumia.com.ng/2nlf-ptz-wifi-ip-camera-led-bulb-security-surveillance-outdoor-312361969.html"
2NLF 2NLF® 8mp Double Screen Full HD Security Camera With Alarm,24134,100625,76%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/9354704/1.jpg?9648","https://www.jumia.com.ng/2nlf-2nlfr-8mp-double-screen-full-hd-security-camera-with-alarm-407453943.html"
2NLF 5g Wifi Security Cameras With LED Alarm 1080p White,18755,31443,40%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/9163213/1.jpg?0063","https://www.jumia.com.ng/2nlf-5g-wifi-security-cameras-with-led-alarm-1080p-white-312361966.html"
V380 PRO DUAL LENS PTZ SOLAR CAMERA 5.0MP,65000,150000,57%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/8857604/1.jpg?8923","https://www.jumia.com.ng/generic-v380-pro-dual-lens-ptz-solar-camera-5.0mp-406758889.html"
Mythco V8 Live Sound Card USB External Audio Mixer For Karaoke Recording Live Broadcast KTV Voice Chat,9999,16999,41%,Mythco,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/8637753/1.jpg?6155","https://www.jumia.com.ng/mythco-v8-live-sound-card-usb-external-audio-mixer-for-karaoke-recording-live-broadcast-ktv-voice-chat-357736841.html"
2NLF Security Camera 1080P Outdoor Wifi With LED Alarm Black,19485,31639,38%,2NLF,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/9163213/1.jpg?9848","https://www.jumia.com.ng/2nlf-security-camera-1080p-outdoor-wifi-with-led-alarm-black-312361973.html"
Portable Telescopes With A Field Of View Of 2000 Meters,10862,20354,47%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/3189872/1.jpg?8533","https://www.jumia.com.ng/generic-portable-telescopes-with-a-field-of-view-of-2000-meters-278981316.html"
Starry Projector Light Astronaut Night Light With Bluetooth Speaker For Party,16000,16160,1%,Generic,N/A,N/A,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/5507803/1.jpg?9933","https://www.jumia.com.ng/generic-starry-projector-light-astronaut-night-light-with-bluetooth-speaker-for-party-308705599.html"
