Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
WAW ALL PURPOSE CLEANER ROSE 1Litre,2300,2530,9%,WAW,3.7,11,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/979499/1.jpg?5879","https://www.jumia.com.ng/waw-all-purpose-cleaner-rose-1litre-99497960.html"
Knorr Beef Bouillon Seasoning Cubes 50X8g Triple Pack,5590,6265,11%,Knorr,4.2,202,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/016248/1.jpg?1429","https://www.jumia.com.ng/knorr-beef-bouillon-seasoning-cubes-50x8g-triple-pack-84261032.html"
Big Bull  Rice 50Kg,73800,80000,8%,Big Bull,3.6,17,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/3810993/1.jpg?4041","https://www.jumia.com.ng/big-bull-rice-50kg-399018372.html"
William Lawson's Finest Blended Scotch Whisky 75cl,12670,14190,11%,William Lawson's,4.4,351,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/681138/1.jpg?5256","https://www.jumia.com.ng/william-lawsons-finest-blended-scotch-whisky-75cl-83118629.html"
Hennessy VSOP Cognac - 750ml,93474,N/A,N/A,Hennessy,4.7,3,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3075153/1.jpg?9098","https://www.jumia.com.ng/hennessy-vsop-cognac-750ml-351570328.html"
Knorr Chicken Bouillon Seasoning Cubes 48X8g Triple Pack,5580,6420,13%,Knorr,4.2,300,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/407399/1.jpg?1124","https://www.jumia.com.ng/knorr-chicken-bouillon-seasoning-cubes-48x8g-triple-pack-99370489.html"
Jameson Black Barrel 70cl,33894,37284,9%,N/A,4.5,173,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/460869/1.jpg?6455","https://www.jumia.com.ng/jameson-black-barrel-70cl-96806477.html"
Baileys Original Irish Cream 700ml.,18158,19974,9%,Baileys,4.7,22,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/4294593/1.jpg?9852","https://www.jumia.com.ng/baileys-original-irish-cream-700ml.-395492463.html"
Knorr Chicken Bouillon Seasoning Cubes 50X8g,2210,N/A,N/A,Knorr,4.3,985,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/262389/1.jpg?1974","https://www.jumia.com.ng/knorr-chicken-bouillon-seasoning-cubes-50x8g-98326296.html"
Guinness Foreign Extra Stout Can 330ml x24,24421,26863,9%,Guinness,4.2,179,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/612838/1.jpg?1518","https://www.jumia.com.ng/guinness-foreign-extra-stout-can-330ml-x24-83821675.html"
Don Royale Dry Gin 75Cl,4912,5404,9%,Don Royale,4.1,17,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/1696733/1.jpg?3477","https://www.jumia.com.ng/don-royale-dry-gin-75cl-337696145.html"
Big Bull  Rice 25Kg,37800,40000,6%,Big Bull,4.6,27,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/3810993/1.jpg?4140","https://www.jumia.com.ng/big-bull-rice-25kg-399018377.html"
Martini Fiero Red Sweet Vermouth Aperitivo 75cl x 2 With 1 free bottle,14628,N/A,N/A,Martini,4.5,64,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/8717593/1.jpg?4498","https://www.jumia.com.ng/martini-fiero-red-sweet-vermouth-aperitivo-75cl-x-2-with-1-free-bottle-395717897.html"
Nittol Antibacterial Detergent 800g,1616,N/A,N/A,Nittol,4.8,16,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/979499/1.jpg?0655","https://www.jumia.com.ng/antibacterial-detergent-800g-x1-nittol-nittol-mpg4082263.html"
Martini Asti Spumante Sparkling Wine 75cl,11440,12584,9%,Martini,4.6,21,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/681138/1.jpg?9528","https://www.jumia.com.ng/martini-asti-spumante-sparkling-wine-75cl-83118661.html"
Terra  Premium Chicken 80pieces x 1,1500,1600,6%,N/A,4.3,15,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/1373004/1.jpg?2188","https://www.jumia.com.ng/terra-premium-chicken-80pieces-x-1-400373149.html"
Milo Activ-Go Sachet 800g,7690,8459,9%,Milo,4.4,478,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/716178/1.jpg?7296","https://www.jumia.com.ng/milo-activ-go-sachet-800g-87161787.html"
Knorr Triple Goodness Combo Pack,5715,6405,11%,Knorr,4.3,59,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/975689/3.jpg?3651","https://www.jumia.com.ng/knorr-triple-goodness-combo-pack-98657985.html"
Nestle Golden Morn Grainsmart 600g,3300,N/A,N/A,Nestle,4.3,95,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/4801812/1.jpg?1197","https://www.jumia.com.ng/nestle-golden-morn-grainsmart-600g-218108413.html"
Uto Chicken Seasoning 10g (10 Pcs),1100,1650,33%,N/A,4.8,13,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/6004004/1.jpg?5706","https://www.jumia.com.ng/uto-chicken-seasoning-10g-10-pcs-400400659.html"
Martell Cognac Blue Swift 75cl (VSOP),77034,N/A,N/A,N/A,4.7,74,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/460869/1.jpg?6710","https://www.jumia.com.ng/martell-cognac-blue-swift-75cl-vsop-96806485.html"
Gold Stainless Steel Spoons & Forks With RACK,21500,25000,14%,Generic,4.3,38,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8213753/1.jpg?9794","https://www.jumia.com.ng/generic-gold-stainless-steel-spoons-forks-with-rack-357312805.html"
Martini Fiero Red Sweet Vermouth Aperitivo 75cl,5720,6292,9%,Martini,4.6,70,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/681138/1.jpg?7934","https://www.jumia.com.ng/martini-fiero-red-sweet-vermouth-aperitivo-75cl-83118668.html"
Knorr Beef Bouillon Seasoning Cubes 50X8g,2242,N/A,N/A,Knorr,4.5,429,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/262389/1.jpg?1847","https://www.jumia.com.ng/knorr-beef-bouillon-seasoning-cubes-50x8g-98326295.html"
Pcos Spearmint Tea,7500,N/A,N/A,N/A,5,1,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/9894814/1.jpg?6484","https://www.jumia.com.ng/generic-pcos-spearmint-tea-418498910.html"
Nittol Antibacterial Detergent 160g,354,N/A,N/A,Nittol,4,2,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/979499/1.jpg?8669","https://www.jumia.com.ng/nittol-antibacterial-detergent-160g-99497956.html"
Patriot Rice 50Kg,72600,80000,9%,Patriot,4,4,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/4113993/1.jpg?0128","https://www.jumia.com.ng/patriot-rice-50kg-399311428.html"
Milo Activ-Go E-Cube 100 x 2.75g,4160,4576,9%,Milo,4.6,75,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/5964201/3.jpg?2755","https://www.jumia.com.ng/milo-activ-go-e-cube-100-x-2.75g-102469522.html"
Golden Terra REFINED VEGETABLE OIL 25L,75400,80000,6%,Golden Terra,4.9,7,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/5009904/1.jpg?2653","https://www.jumia.com.ng/golden-terra-refined-vegetable-oil-25l-409900563.html"
Nescafe Classic Tin 50g,5205,5726,9%,Nescafe,4.6,58,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/0656352/1.jpg?9534","https://www.jumia.com.ng/nescafe-classic-tin-50g-253656028.html"
Maltina Classic Can 33cl x 24,12380,15464,20%,Maltina,4.7,58,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/969129/1.jpg?6669","https://www.jumia.com.ng/classic-can-33cl-x-24-maltina-mpg1662287.html"
Nestle Activ-Go Sachet  N2 NG 400g,3900,4290,9%,Nestle,4.4,381,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/816178/1.jpg?2328","https://www.jumia.com.ng/nestle-activ-go-sachet-n2-ng-400g-87161831.html"
Nestle Maggi Cube 100 x 4g,1780,1958,9%,Nestle Maggi,4.2,81,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/226178/1.jpg?5581","https://www.jumia.com.ng/nestle-maggi-cube-100-x-4g-87162214.html"
