Current Price,Original Price,Discount,Brand,Rating,Review Count
5590,6265,11%,Knorr,4.2,202
12670,14190,11%,William Lawson's,4.4,351
73800,80000,8%,Big Bull,3.8,19
20454,N/A,N/A,Smirnoff,4.7,49
93474,N/A,N/A,Hennessy,4.7,3
5580,6420,13%,Knorr,4.2,302
3919,N/A,N/A,Imperial Blue,4.3,331
20336,22369,9%,N/A,4.5,349
1100,1650,33%,N/A,4.5,15
33894,37284,9%,N/A,4.5,173
4000,4540,12%,Knorr,4.8,46
5720,6292,9%,Martini,4.6,71
15579,17137,9%,Malta Guinness,4.6,10
1616,N/A,N/A,Nittol,4.8,17
1100,1650,33%,N/A,4.8,13
6228,6851,9%,GORDON'S,4.4,41
7690,8459,9%,Milo,4.4,478
77034,N/A,N/A,N/A,4.7,74
2210,N/A,N/A,Knorr,4.3,990
1500,1600,6%,N/A,4.3,15
9410,11440,18%,Martini,4.4,26
18200,20000,9%,Big Bull,4.1,8
1579,1737,9%,Royal Circle,4.2,14
7500,N/A,N/A,N/A,3,2
75400,80000,6%,Golden Terra,4.9,7
9999,10999,9%,Black & White,5,1
641,2304,72%,Generic,4.7,3
5715,6405,11%,Knorr,4.3,61
11440,12584,9%,Martini,4.5,22
2300,2530,9%,WAW,4.5,16
6506,N/A,N/A,Jameson,4,142
15579,17137,9%,Malta Guinness,4.4,829
354,N/A,N/A,Nittol,4,2
12031,15464,22%,Maltina,4.7,58
2490,5000,50%,Generic,3.6,9
13000,N/A,N/A,Tropical Sun,4.5,16
90100,95500,6%,Big Bull,5,4
21500,25000,14%,Generic,4.3,41
14400,14900,3%,Golden Penny,4.7,6
3999,6890,42%,N/A,4.3,12
3900,4290,9%,Nestle,4.5,382
14999,19359,23%,Bombay,4.8,44
6600,7500,12%,WAW,4.6,5
2300,2530,9%,WAW,3.4,5
4160,4576,9%,Milo,4.6,75
4247,5726,26%,Nescafe,4.6,58
3000,6000,50%,N/A,4.3,6
7203,N/A,N/A,Royal Circle,4.7,20
2242,N/A,N/A,Knorr,4.5,429
5700,N/A,N/A,Generic,5,1
9410,11440,18%,Martini,4.3,20
7500,12000,38%,Generic,3.9,26
15065,16571,9%,Absolut,4.5,100
12987,15488,16%,Bacardi,4.5,27
47368,52105,9%,Hennessy,4.6,13
7500,10000,25%,Generic,4.7,17
2020,N/A,N/A,WAW,4.5,15
6400,N/A,N/A,Airwick,4.7,19
2930,3200,8%,Tomato Jos,4.8,11
20900,N/A,N/A,Generic,5,1
2500,5000,50%,Daalu,3.8,17
16571,18228,9%,Absolut,4.6,55
3000,N/A,N/A,N/A,5,3
64361,82720,22%,D'USSE,4.6,20
38800,52153,26%,N/A,5,1
2000,2200,9%,N/A,3,3
11440,12584,9%,Martini,4.7,41
1500,1600,6%,N/A,5,3
9890,12000,18%,ActiveO,3.6,29
4868,5355,9%,Smirnoff,4.4,226
4200,6000,30%,N/A,5,1
4100,4500,9%,N/A,1,1
5500 -  17000,6500 -  18000,15%,N/A,4,1
18640,23737,21%,Orijin,4.5,37
6228,6851,9%,GORDON'S,4.5,70
2999,4999,40%,TEMMY SUCCESS,3.8,4
8000,N/A,N/A,N/A,4.7,3
6500,8999,28%,N/A,5,2
2999,N/A,N/A,Generic,5,1
4999 -  9700,6500 -  11990,23%,N/A,N/A,N/A
2489,5000,50%,Generic,3.9,10
5500 -  15500,N/A,N/A,N/A,4.5,2
344004,378405,9%,Glenfiddich,5,2
16571,18228,9%,Absolut,4.3,16
14388,17160,16%,Camino,4.6,27
3400,5500,38%,WAW,5,4
39619,45760,13%,Patron,5,5
21000,24000,13%,Generic,4.5,13
7690,13446,43%,Generic,4.8,5
4750,N/A,N/A,N/A,5,3
4000,N/A,N/A,N/A,3.5,4
4900,N/A,N/A,Generic,N/A,N/A
2105,2300,8%,Golden Penny,5,2
4200,N/A,N/A,Kunimed,N/A,N/A
15000,20000,25%,N/A,N/A,N/A
4830 -  5670,13041 -  13122,63%,N/A,5,1
6000,N/A,N/A,Victory,4.4,13
4900,N/A,N/A,Generic,N/A,N/A
13800,N/A,N/A,N/A,N/A,N/A
6000,N/A,N/A,Airwick,4.3,3
