Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Vaseline Blueseal Original Petroleum Jelly 50ml (Pack of 2),1085,1165,7%,Vaseline,4,72,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/026248/1.jpg?3585","https://www.jumia.com.ng/vaseline-blueseal-original-petroleum-jelly-50ml-pack-of-2-84262094.html"
Dr Teal's Foam Bath Glow & Radiance Vitamin C 34oz,10365,11142,7%,Dr Teal's,4.3,66,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6774523/1.jpg?6676","https://www.jumia.com.ng/dr-teals-foam-bath-glow-radiance-vitamin-c-34oz-325477605.html"
Axe Adrenalin Mandarin & Sandalwood Scent 48h - 150ml (Pack Of 2),6020,6475,7%,Axe,4.5,30,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/906689/1.jpg?8977","https://www.jumia.com.ng/axe-adrenalin-mandarin-sandalwood-scent-48h-150ml-pack-of-2-98660967.html"
Dove Men+Care Cool Fresh Aerosol Antiperspirant Deodorant 250ml,5170,N/A,N/A,Dove,4.3,12,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/516689/1.jpg?6879","https://www.jumia.com.ng/dove-mencare-cool-fresh-aerosol-antiperspirant-deodorant-250ml-98661522.html"
Dettol Antiseptic Liquid Disinfectant 750ml,13635,14610,7%,Dettol,4.6,84,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/362729/1.jpg?1368","https://www.jumia.com.ng/antiseptic-liquid-disinfectant-750ml-dettol-mpg66992.html"
Axe AXE Oud Wood & Fresh Vanilla Scent 48h - 150ml (Pack Of 2),6020,6475,7%,Axe,5,8,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/416689/1.jpg?2819","https://www.jumia.com.ng/axe-axe-oud-wood-fresh-vanilla-scent-48h-150ml-pack-of-2-98661449.html"
Axe AXE Dark Temptation Dark Chocolate Scent 48h - 150ml (Pack Of 2),6475,N/A,N/A,Axe,4.6,17,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/516689/1.jpg?5140","https://www.jumia.com.ng/axe-axe-dark-temptation-dark-chocolate-scent-48h-150ml-pack-of-2-98661503.html"
NIVEA Dry Impact Roll-on For Men 72h- 50ml (Pack Of 3),4985,6125,19%,NIVEA,4.1,5823,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/9523401/1.jpg?8635","https://www.jumia.com.ng/nivea-dry-impact-roll-on-for-men-72h-50ml-pack-of-3-104325942.html"
NIVEA Radiant & Beauty Even Glow Body Lotion For Women - 400ml - Pack Of 2,9470,11635,19%,NIVEA,4,3797,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/8523401/1.jpg?1668","https://www.jumia.com.ng/nivea-radiant-beauty-even-glow-body-lotion-for-women-400ml-pack-of-2-104325862.html"
NIVEA MEN Deep Anti-Perspirant Roll-on For Men 72h - 50ml (Pack of 3),4985,6125,19%,NIVEA,4.1,3839,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9523401/1.jpg?2444","https://www.jumia.com.ng/nivea-men-deep-anti-perspirant-roll-on-for-men-72h-50ml-pack-of-3-104325974.html"
