Current Price,Original Price,Discount,Brand,Rating,Review Count
10365,11142,7%,Dr Teal's,4.3,66
747,N/A,N/A,Dettol,4.1,61
6020,6475,7%,Axe,4.5,30
5170,N/A,N/A,Dove,4.3,12
6475,N/A,N/A,Axe,4.6,17
4459,N/A,N/A,Dettol,4.5,66
8070,8918,10%,Dettol,4.4,108
13635,14610,7%,Dettol,4.6,84
9470,11635,19%,NIVEA,4,3889
4985,6125,19%,NIVEA,4.1,3880
5280,6890,23%,NIVEA,4.1,3042
2662,5354,50%,N/A,3.6,1793
7695,9800,21%,NIVEA,4.1,5602
10840,13320,19%,NIVEA,4.2,1890
3654,6794,46%,N/A,3.9,329
4985,6125,19%,NIVEA,4.1,2551
2517,3318,24%,N/A,4,2490
3220,32474,90%,TOUPHY,3.6,1136
1199,10000,88%,2Black,3.7,4653
14973,16200,8%,N/A,4,2393
8800,10315,15%,Dr Teal's,4.2,1079
3476,12545,72%,TOUPHY,3.9,312
4695,6125,23%,NIVEA,4.2,726
2549,2999,15%,N/A,3.9,367
4985,6125,19%,NIVEA,4,2772
8150,20000,59%,Blueidea,3.5,2060
2499,5000,50%,Roushun,3.7,3363
8355,9695,14%,NIVEA,4.1,2559
9470,11635,19%,NIVEA,4.1,1848
8890,10920,19%,NIVEA,4.1,97
7655,8880,14%,NIVEA,4.1,4430
1999,5000,60%,N/A,3.5,519
16180,16200,1%,Kiki New Gain,4.1,9356
8999,27831,68%,Fashion,4.3,840
3850,N/A,N/A,Cerave,3.9,789
2696,19643,86%,Generic,3.4,1800
2850,12950,78%,SADOER,4.1,1170
8000,N/A,N/A,N/A,3.9,289
14980,26552,44%,Huameisi,4,198
3116,5250,41%,N/A,3.4,90
5270,6940,24%,NIVEA,3.9,1319
3470,4085,15%,NIVEA,4.1,3142
9000,N/A,N/A,Minoxidil,3.8,225
7810,9595,19%,NIVEA,4.2,1614
2864,5808,51%,N/A,3.6,530
4170,4440,6%,NIVEA,4.1,992
19990,30000,33%,Generic,4,1308
11540,14695,21%,NIVEA,4.1,2308
13500,21840,38%,NIVEA,4.5,93
7810,9595,19%,NIVEA,4.3,1833
9450,10500,10%,Dr Teal's,4.4,739
4250,5000,15%,N/A,3.8,514
5999,10000,40%,L'Uodais,4.1,3556
7500,N/A,N/A,Cerave,4,218
4645,6125,24%,NIVEA,4.3,654
2956,9000,67%,Biore,4.2,215
2499,10000,75%,Disaar,3.7,1735
7810,9595,19%,NIVEA,4.2,845
2844,6992,59%,Generic,3.8,78
8800,20000,56%,TOUPHY,3.5,380
5410,5820,7%,NIVEA,4,1905
19700,30000,34%,Generic,4,582
9045,21304,58%,N/A,4.3,702
3654,9692,62%,Generic,3.7,226
2468,3451,28%,LZDUATAN,3.6,1331
2490,10000,75%,Aichun Beauty,3.6,2498
16000,18000,11%,Generic,3.9,394
4170,4440,6%,NIVEA,4.1,378
7500,9000,17%,N/A,3.9,156
3999,5000,20%,N/A,3.7,1568
2603,9999,74%,SADOER,4.3,59
3999,9000,56%,Disaar,4,957
13233,27193,51%,Generic,3.9,186
5799,10000,42%,Biore,4.1,419
6900,10000,31%,Generic,3.6,227
6220,11792,47%,LZDUATAN,4.2,1044
16501,N/A,N/A,N/A,4.1,479
9672,10400,7%,Sonar,4.2,853
10501,N/A,N/A,Minoxidil,3.9,238
2775,8000,65%,Derma Roller,4.1,771
12900,22450,43%,NIVEA,4,1280
1850,5000,63%,Kinoki,3.9,358
6000,11760,49%,N/A,4.1,891
5999,28000,79%,N/A,3.7,703
799,2500,68%,Tinkle,4,1449
2799,10000,72%,N/A,3.9,278
2995,12950,77%,MOOYAM,3.7,862
17500 -  27500,19250 -  27750,9%,N/A,4.4,114
5450,10000,46%,Pei Mei,4.1,157
3195,4350,27%,Nature Field,3.5,231
4999,6000,17%,N/A,3.4,1560
3950,N/A,N/A,Cerave,3.7,2961
4250,10000,58%,Eden,3.9,363
2490,5000,50%,N/A,3.9,407
2066,2222,7%,Generic,4.1,637
6995,35000,80%,Generic,4,338
2999,N/A,N/A,Generic,4.4,234
4500,5900,24%,Nova,3.6,1534
2916,6642,56%,iYOWEI,3.5,963
6794,10992,38%,iYOWEI,3.8,266
