Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Nexus 5.5kg Twin Tub Washing Machine (NX-WM-5SAK),141700,163914,14%,Nexus,4.3,570,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/4203591/1.jpg?4039","https://www.jumia.com.ng/nexus-5.5kg-twin-tub-washing-machine-nx-wm-5sak-195302497.html"
Glamstar 1.5HP Inverter Split Copper Air Conditioner (GAC-S12R4I-E) + Free Installation Kit & 12 Months Warranty,381600,470880,19%,Glamstar,4.6,209,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/5562092/1.jpg?4148","https://www.jumia.com.ng/1.5hp-split-copper-inverter-air-conditioner-gac-s12r4-in-free-installation-kit-12-months-warranty-glamstar-mpg10713929.html"
Elegant Modern 3D Pattern Large Center Rug- 120*160cm(4ft X 6ft)-BU,18995,30000,37%,Generic,3.8,187,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5550112/1.jpg?0002","https://www.jumia.com.ng/generic-elegant-modern-3d-pattern-large-center-rug-120160cm4ft-x-6ft-bu-211055528.html"
Haier Thermocool 146 Litres Chest Freezer (HTF-150) - Silver + 3 Years Warranty,355370,412229,14%,Haier Thermocool,4.4,134,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/7813011/1.jpg?2094","https://www.jumia.com.ng/haier-thermocool-146-litres-chest-freezer-htf-150-silver-3-years-warranty-110318763.html"
Syinix 2.2L Electric Kettle - Silver SKE22U1,6100,6369,4%,Syinix,4,2657,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/1149363/1.jpg?4917","https://www.jumia.com.ng/syinix-2.2l-electric-kettle-silver-ske22u1-363941133.html"
SILVER CREST 2L Industrial 8500W Food Crusher Blender With 2 Jar,24990,27036,8%,SILVER CREST,3.9,10749,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/9080814/1.jpg?9815","https://www.jumia.com.ng/2l-industrial-8500w-food-crusher-blender-with-2-jar-silver-crest-mpg11072106.html"
HANSEN Electric Iron Pressing Clothes 1000W,6700,7011,4%,HANSEN,3.9,1224,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/4712814/1.jpg?2558","https://www.jumia.com.ng/electric-iron-pressing-clothes-1000w-hansen-mpg11131816.html"
SOLITEC STANDING FAN 18 INCHES,19012,N/A,N/A,SOLITEC,3.9,3341,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/4106404/1.jpg?8449","https://www.jumia.com.ng/standing-fan-18-inches-solitec-mpg10055692.html"
SILVER CREST 2L Industrial 8500W Food Crusher Blender With 2 In 1 Functionality,22600,23651,4%,SILVER CREST,3.8,5552,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/8963283/1.jpg?9665","https://www.jumia.com.ng/2l-industrial-8500w-food-crusher-blender-with-2-in-1-functionality-silver-crest-mpg11171603.html"
DIY Wall Clocks 3D Mirror Stickers Large Wall Clock -Black,3330,6376,48%,Generic,3.6,3880,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/0681822/1.jpg?3633","https://www.jumia.com.ng/generic-diy-wall-clocks-3d-mirror-stickers-large-wall-clock-black-228186095.html"
Boscon Auto Ignition Table Top Gas Cooker-2 Burner-Silver,16499,17615,6%,Boscon,3.6,428,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/2526404/1.jpg?4056","https://www.jumia.com.ng/boscon-auto-ignition-table-top-gas-cooker-2-burner-silver-404625207.html"
