Current Price,Original Price,Discount,Brand,Rating,Review Count,Home-office
141700,163914,14%,Nexus,4.3,593,Home-office
381600,470880,19%,Glamstar,4.6,216,Home-office
17599,30000,41%,Generic,3.8,196,Home-office
6100,6369,4%,Syinix,4,3209,Home-office
24990,27036,8%,SILVER CREST,3.9,11292,Home-office
6700,7011,4%,HANSEN,3.9,1432,Home-office
19012,N/A,N/A,SOLITEC,3.9,3422,Home-office
22600,23651,4%,SILVER CREST,3.8,5674,Home-office
16499,17615,6%,Boscon,3.5,486,Home-office
36785,N/A,N/A,SILVER CREST,4.4,40,Home-office
3427,6257,45%,Generic,3.6,3948,Home-office
18999,20058,5%,SOLITEC,3.9,612,Home-office
187999,220399,15%,Hisense,4.2,1670,Home-office
20057,N/A,N/A,HANSEN,4.2,119,Home-office
12985,15063,14%,Binatone,4,2483,Home-office
2153,3313,35%,Generic,3.8,253,Home-office
12800,13967,8%,N/A,4.1,734,Home-office
1902,3200,41%,Generic,3.8,980,Home-office
76999,81000,5%,Hisense,4.4,200,Home-office
3358,6402,48%,Generic,3.5,257,Home-office
7849,N/A,N/A,Generic,4.1,86,Home-office
139000,142000,2%,Aeon,4.2,84,Home-office
27300,31668,14%,Binatone,4.2,212,Home-office
7899,15000,47%,Generic,3.9,1265,Home-office
188490,210000,10%,Skyrun,3.7,237,Home-office
47900,58250,18%,N/A,4.1,737,Home-office
14835,17209,14%,Binatone,4,6515,Home-office
43580,N/A,N/A,N/A,4.1,461,Home-office
48500,65000,25%,Panasonic,4.3,137,Home-office
8899,15000,41%,N/A,4,298,Home-office
28400,45000,37%,SILVER CREST,4.1,78,Home-office
40000,42532,6%,Hc,4.1,480,Home-office
2199,9000,76%,Generic,3.1,719,Home-office
2999,20000,85%,Generic,3.8,133,Home-office
28500,45000,37%,SILVER CREST,4.1,109,Home-office
3812,6620,42%,Generic,4,634,Home-office
1994,3313,40%,Generic,4,91,Home-office
5135,9938,48%,Generic,3.9,555,Home-office
2185,9000,76%,Generic,3.8,1083,Home-office
18995,29000,35%,Generic,3.7,392,Home-office
26018,N/A,N/A,Generic,5,2,Home-office
6983,N/A,N/A,Syinix,4,206,Home-office
11759,N/A,N/A,N/A,4.4,278,Home-office
174000,211119,18%,Aeon,4.3,29,Home-office
136000,157760,14%,Aeon,4.2,28,Home-office
162750,190820,15%,Aeon,3.8,17,Home-office
45000,96000,53%,Pinnacle,4.3,303,Home-office
28390,45000,37%,SILVER CREST,3.9,3642,Home-office
17069,N/A,N/A,Boscon,3.8,1987,Home-office
8900,19000,53%,Syinix,4,116,Home-office
4148,7491,45%,Generic,3.2,127,Home-office
16669,19336,14%,Binatone,4.2,904,Home-office
5628,14400,61%,Mythco,4.2,625,Home-office
9100,10660,15%,Sun King,3.8,802,Home-office
26780,32900,19%,Nexus,4.1,3855,Home-office
2200,9000,76%,Generic,3.2,874,Home-office
12587,N/A,N/A,Generic,4.1,203,Home-office
144900,146280,1%,Skyrun,4.1,617,Home-office
36000,75500,52%,N/A,4.1,969,Home-office
26000,N/A,N/A,N/A,4,238,Home-office
11500,31800,64%,HANSEN,3.8,13,Home-office
19990,40000,50%,itel,4.3,24,Home-office
22436,24616,9%,Generic,4,8,Home-office
3300,10000,67%,Generic,3.6,513,Home-office
2990,5303,44%,Generic,3.9,53,Home-office
9000,N/A,N/A,Generic,3.4,53,Home-office
98490,105100,6%,Sun King,4.2,53,Home-office
299600,353046,15%,Nexus,4.3,205,Home-office
14540,120000,88%,N/A,4.3,220,Home-office
120671,N/A,N/A,N/A,4,523,Home-office
24000,28000,14%,Generic,3.8,9,Home-office
3140,6280,50%,Cloudoon,3.7,261,Home-office
18228,27475,34%,Generic,4,1,Home-office
16500,40000,59%,N/A,4.1,75,Home-office
8700,10000,13%,Generic,4.1,95,Home-office
42800,45000,5%,Generic,3.2,18,Home-office
4999,8000,38%,Mythco,4.2,137,Home-office
35000,40000,13%,N/A,3.8,23,Home-office
3427,7792,56%,Generic,3.8,1391,Home-office
39000,55870,30%,N/A,3.8,164,Home-office
38000,42000,10%,Generic,4,2,Home-office
11834,28171,58%,N/A,4,500,Home-office
11700,N/A,N/A,Goldcrown,4.1,1023,Home-office
14798,25000,41%,Miratec,4,42,Home-office
13618,49379,72%,EiFESS,3.1,108,Home-office
10942,27184,60%,Mythco,3.6,238,Home-office
12850,20200,36%,N/A,4.4,172,Home-office
6100,8000,24%,Feng Cheng,3.7,584,Home-office
27000,45000,40%,N/A,3.6,25,Home-office
66999,69274,3%,N/A,4.2,612,Home-office
3703,7712,52%,Cloudoon,4,146,Home-office
2121,4405,52%,Mythco,3.6,463,Home-office
15900,N/A,N/A,Generic,4,83,Home-office
3510,6698,48%,Mythco,4.1,108,Home-office
3887,7937,51%,Generic,3.8,597,Home-office
2750,10000,73%,Generic,4,52,Home-office
1935,9000,79%,Generic,3.9,79,Home-office
12699,15000,15%,N/A,3.9,2312,Home-office
1838,7159,74%,Generic,4.4,85,Home-office
24999,N/A,N/A,Generic,4.5,10,Home-office
