Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Infinix Hot 50 Pro+ 6.78" 8GB RAM/128GB ROM Android 14- Black,256317,N/A,N/A,Infinix,4.6,47,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/1210083/1.jpg?5755","https://www.jumia.com.ng/infinix-hot-50-pro-6.78-8gb-ram128gb-rom-android-14-black-380012162.html"
Ace Elec 20000 MAh Utra Slim Portable Power Bank,7294,N/A,N/A,Ace Elec,3.7,47707,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6704752/1.jpg?2823","https://www.jumia.com.ng/20000-mah-utra-slim-portable-power-bank-ace-elec-mpg9190077.html"
EASYPIE EasyPie 20000mAh Dual Fast Charge 64W Type-C And Micro-USB Portable Power Bank,7392,8896,17%,EASYPIE,3.6,1742,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/1592404/1.jpg?6116","https://www.jumia.com.ng/easypie-easypie-20000mah-dual-fast-charge-64w-type-c-and-micro-usb-portable-power-bank-404295118.html"
VIC ♛20000mAh Power Banks 74Wh Portable Charger Ultra Slim Battery Pack( Type C Input),6971,19107,64%,N/A,3.4,3579,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/8088904/1.jpg?5707","https://www.jumia.com.ng/vic-20000mah-power-banks-74wh-portable-charger-ultra-slim-battery-pack-type-c-input-409880802.html"
Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger,25882,N/A,N/A,Ace Elec,3.5,15978,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/0157843/1.jpg?2245","https://www.jumia.com.ng/ace-elec-50000-mah-power-banks-with-led-light-portable-super-fast-charger-348751098.html"
Philly 20000mAh Power Charging Bank Portable Charger Ultra Slim,7104,13744,48%,Philly,3.6,11294,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7345413/1.jpg?6266","https://www.jumia.com.ng/philly-20000mah-power-charging-bank-portable-charger-ultra-slim-314543716.html"
Philly 20000mAh Power Charging Bank  Type-C Input,7841,14893,47%,Philly,3.6,6781,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/5791463/1.jpg?1596","https://www.jumia.com.ng/philly-20000mah-power-charging-bank-type-c-input-364197519.html"
itel 20000mAh Dual Output Fast Charging Power Bank,15750,20000,21%,itel,3.9,12509,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/523389/1.jpg?7967","https://www.jumia.com.ng/itel-20000mah-dual-output-fast-charging-power-bank-98332547.html"
Philly 50000 MAh Super Fast Charger Power  Bank With LED Lights,24963,43489,43%,Philly,3.7,2156,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/5418373/1.jpg?1597","https://www.jumia.com.ng/philly-50000-mah-super-fast-charger-power-bank-with-led-lights-373814523.html"
Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger..,25882,N/A,N/A,Ace Elec,3.6,1288,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/3460204/1.jpg?9808","https://www.jumia.com.ng/ace-elec-50000-mah-power-banks-with-led-light-portable-super-fast-charger..-402064365.html"
itel TWS BUDSNEO 3 Earbuds Earpods BUDS NEO 3 100Hours ENC Black,14711,N/A,N/A,N/A,4.3,2327,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/4782183/1.jpg?5150","https://www.jumia.com.ng/itel-tws-budsneo-3-earbuds-earpods-buds-neo-3-100hours-enc-black-381287413.html"
Philly 30000mAh Power Charging Bank,14350,34352,58%,Philly,3.6,1789,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3528383/1.jpg?5824","https://www.jumia.com.ng/philly-30000mah-power-charging-bank-383825353.html"
itel PowerPulse A1160 20000mAh Power-Bank,14507,19672,26%,itel,3.9,4601,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/7595563/1.jpg?6045","https://www.jumia.com.ng/itel-powerpulse-a1160-20000mah-power-bank-365595706.html"
VIC ✪20000mAh Power Banks 74Wh Portable Charger Ultra Slim Battery Pack( Type C Input),7112,19578,64%,VIC,3.5,383,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/6182504/1.jpg?4053","https://www.jumia.com.ng/vic-20000mah-power-banks-74wh-portable-charger-ultra-slim-battery-pack-type-c-input-405281614.html"
