Current Price,Original Price,Discount,Brand,Rating,Review Count,Phones-tablets
88316,N/A,N/A,XIAOMI,4,177,Phones-tablets
221160,N/A,N/A,N/A,4.5,12,Phones-tablets
7294,N/A,N/A,Ace Elec,3.7,52966,Phones-tablets
7294,N/A,N/A,Ace Elec,3.7,48111,Phones-tablets
7199,8785,18%,EASYPIE,3.6,2077,Phones-tablets
6971,19107,64%,N/A,3.3,3896,Phones-tablets
25882,N/A,N/A,Ace Elec,3.5,16162,Phones-tablets
13488,29904,55%,Oraimo,3.9,2661,Phones-tablets
7104,13744,48%,Philly,3.6,11472,Phones-tablets
6995,N/A,N/A,Sunelan,3.8,54,Phones-tablets
24963,43489,43%,Philly,3.7,2309,Phones-tablets
7690,14893,48%,Philly,3.6,6912,Phones-tablets
13408,23362,43%,Oraimo,4.3,66,Phones-tablets
15750,20000,21%,itel,3.9,12576,Phones-tablets
14099,34570,59%,Philly,3.6,1919,Phones-tablets
7157,19703,64%,VIC,3.4,518,Phones-tablets
14507,19672,26%,itel,3.9,4681,Phones-tablets
24882,25882,4%,Ace Elec,3.6,1356,Phones-tablets
12105,N/A,N/A,N/A,4.2,477,Phones-tablets
6995,N/A,N/A,Sunelan,4.3,80,Phones-tablets
14489,14805,2%,N/A,4.3,2400,Phones-tablets
95632,98632,3%,N/A,4.1,511,Phones-tablets
108684,111684,3%,N/A,4.1,314,Phones-tablets
13412,N/A,N/A,Ace Elec,3.7,2992,Phones-tablets
16290,28440,43%,Oraimo,4.3,334,Phones-tablets
9990,18000,45%,itel,4.1,506,Phones-tablets
14990,34570,57%,Philly,3.8,652,Phones-tablets
7094,13572,48%,Philly,3.8,135,Phones-tablets
15800,47400,67%,Oraimo,4.3,626,Phones-tablets
122712,125712,2%,N/A,4.2,146,Phones-tablets
21504,24158,11%,itel,4.3,3383,Phones-tablets
14450,20000,28%,itel,3.9,1560,Phones-tablets
7376,19200,62%,VIC,3.4,256,Phones-tablets
11595,19895,42%,Generic,3.4,477,Phones-tablets
3603,9999,64%,EAGEAT,3.3,300,Phones-tablets
8290,19028,56%,TiLECC,3.5,1459,Phones-tablets
3949,6545,40%,Guixia,3.5,1386,Phones-tablets
4344,5878,26%,N/A,3.4,1440,Phones-tablets
24000,41491,42%,Philly,3.6,835,Phones-tablets
8990,16400,45%,Guixia,3.3,19,Phones-tablets
9000,24067,63%,TiLECC,N/A,N/A,Phones-tablets
63000,N/A,N/A,Maxmech,N/A,N/A,Phones-tablets
3456,7583,54%,N/A,N/A,N/A,Phones-tablets
3949,6545,40%,Guixia,N/A,N/A,Phones-tablets
4245,6319,33%,Guixia,N/A,N/A,Phones-tablets
4344,6585,34%,Guixia,N/A,N/A,Phones-tablets
3802,6178,38%,N/A,N/A,N/A,Phones-tablets
4739,6439,26%,Guixia,N/A,N/A,Phones-tablets
5210,13025,60%,N/A,N/A,N/A,Phones-tablets
4739,6439,26%,Guixia,N/A,N/A,Phones-tablets
4914,9106,46%,Fashion,N/A,N/A,Phones-tablets
24000,41491,42%,Philly,N/A,N/A,Phones-tablets
12105,N/A,N/A,Tecno,3.8,1065,Phones-tablets
120577,N/A,N/A,Samsung,4.1,513,Phones-tablets
6995,N/A,N/A,Sunelan,3.9,12,Phones-tablets
3812,11077,66%,Generic,4.1,417,Phones-tablets
4276,20093,79%,Generic,3.6,2631,Phones-tablets
18000,19639,8%,N/A,4.3,614,Phones-tablets
89999,120500,25%,Realme,4.1,16,Phones-tablets
9999,13412,25%,Ace Elec,3.6,308,Phones-tablets
22812,N/A,N/A,N/A,4.5,447,Phones-tablets
25513,35227,28%,Philly,3.9,267,Phones-tablets
3016,4108,27%,N/A,3.5,2282,Phones-tablets
7841,14345,45%,Philly,3.6,141,Phones-tablets
7368,N/A,N/A,N/A,3.8,251,Phones-tablets
7536,12748,41%,RichRipple,3.9,37,Phones-tablets
7984,17632,55%,TiLECC,3.4,2105,Phones-tablets
9578,14256,33%,Philly,3.7,584,Phones-tablets
7368,N/A,N/A,N/A,3.7,418,Phones-tablets
3920,11200,65%,GUEETON,3.5,1308,Phones-tablets
7752,14523,47%,Philly,3.6,541,Phones-tablets
14720,22560,35%,itel,4.1,5557,Phones-tablets
15290,29110,47%,Oraimo,3.9,1146,Phones-tablets
4898,18881,74%,Ace Elec,3.5,1066,Phones-tablets
14500,40000,64%,itel,4.1,2283,Phones-tablets
15378,35227,56%,Philly,3.7,268,Phones-tablets
2231,2300,3%,Generic,4.1,476,Phones-tablets
6320,23842,73%,N/A,3.9,634,Phones-tablets
8195,15989,49%,EAGEAT,4.1,3154,Phones-tablets
25790,40000,36%,itel,4,477,Phones-tablets
4784,8500,44%,N/A,3.5,131,Phones-tablets
119993,242466,51%,N/A,4.2,141,Phones-tablets
14489,29909,52%,N/A,4.2,643,Phones-tablets
20755,29328,29%,RichRipple,4,53,Phones-tablets
3190,4990,36%,Generic,4,908,Phones-tablets
7368,N/A,N/A,N/A,4.1,163,Phones-tablets
15504,28800,46%,Philly,3.3,13,Phones-tablets
10862,23020,53%,N/A,3.3,900,Phones-tablets
3950,9954,60%,Ace Elec,4.2,498,Phones-tablets
14599,30000,51%,TiLECC,3.6,255,Phones-tablets
4999,11238,56%,TiLECC,3.4,996,Phones-tablets
6985,18000,61%,N/A,3.6,404,Phones-tablets
9000,24067,63%,TiLECC,N/A,N/A,Phones-tablets
63000,N/A,N/A,Maxmech,N/A,N/A,Phones-tablets
3456,7583,54%,N/A,N/A,N/A,Phones-tablets
3949,6545,40%,Guixia,N/A,N/A,Phones-tablets
4245,6319,33%,Guixia,N/A,N/A,Phones-tablets
4344,6585,34%,Guixia,N/A,N/A,Phones-tablets
3802,6178,38%,N/A,N/A,N/A,Phones-tablets
4739,6439,26%,Guixia,N/A,N/A,Phones-tablets
,,,,,,
