Name,Current Price,Original Price,Discount,Brand,Rating,Review Count,Image URL,Product URL
Original Wireless Controller Pad For Ps4-GreenCamo,15500,65000,76%,Generic,4.3,254,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/9222231/1.jpg?9715","https://www.jumia.com.ng/generic-original-wireless-controller-pad-for-ps4-greencamo-132222957.html"
Finger Thumb Sleeve Gloves For Gamer Non-scratch Portable Mobile Gaming Gloves Gaming Accessories Comfortable Sweat Proof,4268,4500,5%,N/A,3.8,29,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/1927114/1.jpg?8118","https://www.jumia.com.ng/generic-finger-thumb-sleeve-gloves-for-gamer-non-scratch-portable-mobile-gaming-gloves-gaming-accessories-comfortable-sweat-proof-411729182.html"
PS4 Controller  Dualshock 4 Wireless Game Pad - Black,13190,25790,49%,Generic,4.2,176,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/040786/1.jpg?9236","https://www.jumia.com.ng/generic-ps4-controller-dualshock-4-wireless-game-pad-black-68704090.html"
Sony PS4 Pad - PlayStation 4 DualShock 4 Wireless Controller,13400,13450,1%,Sony,4.3,290,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/0159961/1.jpg?5463","https://www.jumia.com.ng/sony-ps4-pad-playstation-4-dualshock-4-wireless-controller-169951037.html"
Sony Ps4 Console 500 GB WITH 2 CONTROLLER,239500,239550,1%,Sony,4.1,43,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/5159011/1.jpg?6458","https://www.jumia.com.ng/sony-ps4-console-500-gb-with-2-controller-110951575.html"
Original Wireless PS4 Pad With Touchpad Lightbar,15500,65000,76%,Generic,4.1,60,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/734099/1.jpg?3467","https://www.jumia.com.ng/generic-original-wireless-ps4-pad-with-touchpad-lightbar-99043746.html"
Jigsimur Natural Health Drink (750ml) Aloe Ferox (1bottle),15520,25000,38%,Jigsimur,4.1,38,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/9336293/1.jpg?2819","https://www.jumia.com.ng/natural-health-drink-750ml-aloe-ferox-1bottle-jigsimur-mpg10213514.html"
Original PS4 Controller Wireless Game Pad - With Original Charging Cord,13700,75000,82%,Generic,4.2,147,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/119289/1.jpg?2404","https://www.jumia.com.ng/generic-original-ps4-controller-wireless-game-pad-with-original-charging-cord-98291176.html"
PS4 Controller Game Pad -  Grey C,13890,20790,33%,Generic,4.2,187,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/040786/1.jpg?6830","https://www.jumia.com.ng/generic-ps4-controller-game-pad-grey-c-68704092.html"
Wireless Controller Pad For Ps4--GOLD,13600,75000,82%,N/A,4.6,18,"https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/7606942/1.jpg?0141","https://www.jumia.com.ng/generic-wireless-controller-pad-for-ps4-gold-249606745.html"
