Current Price,Original Price,Discount,Brand,Rating,Review Count,Video-games
12980,25790,50%,Generic,4.2,184,Video-games
4268,4500,5%,N/A,4,40,Video-games
15500,65000,76%,Generic,4.3,263,Video-games
13400,13450,1%,Sony,4.3,298,Video-games
239500,239550,1%,Sony,4.1,44,Video-games
13700,75000,82%,Generic,4.2,155,Video-games
13890,20790,33%,Generic,4.2,191,Video-games
15500,65000,76%,Generic,4.1,64,Video-games
13890,25790,46%,Generic,4.3,143,Video-games
13600,75000,82%,N/A,4.6,19,Video-games
159000,N/A,N/A,Sony,4.4,7,Video-games
11653,15560,25%,Generic,3.8,17,Video-games
13500,65000,79%,Generic,4.3,71,Video-games
329500,329550,1%,Sony Computer Entertainment,4.3,50,Video-games
9990,15500,36%,N/A,3.6,19,Video-games
875500,887550,1%,Sony,5,4,Video-games
50500,50550,1%,EA Sports,4.7,12,Video-games
5431,12608,57%,General,4.4,98,Video-games
13490,N/A,N/A,N/A,3.8,27,Video-games
54500,54550,1%,Electronic Arts,4.3,27,Video-games
154000,175770,12%,Sony,3.8,96,Video-games
13450,25790,48%,Generic,4.2,124,Video-games
219999,350000,37%,N/A,4.7,3,Video-games
32980,45500,28%,Generic,4.7,7,Video-games
15500,65000,76%,Generic,4.5,10,Video-games
32900,32950,1%,Warner Bros. Interactive,4.8,68,Video-games
37500,37550,1%,Rockstar Games,4.6,25,Video-games
12800,30000,57%,Dobe,4.7,64,Video-games
14990,39500,62%,Sony,4,60,Video-games
930000,1170000,21%,Sony,3,4,Video-games
13700,65000,79%,Generic,4.3,58,Video-games
34900,34950,1%,Rockstar Games,4.6,23,Video-games
64999,70000,7%,Sony Computer Entertainment,3.4,8,Video-games
239000,292961,18%,Sony Computer Entertainment,4.4,61,Video-games
229500,229550,1%,Sony,4.2,29,Video-games
16400,N/A,N/A,N/A,4.2,65,Video-games
64999,90000,28%,Sony,4,3,Video-games
11550,21104,45%,Generic,3.9,18,Video-games
13386,25000,46%,Generic,4.2,12,Video-games
98000,N/A,N/A,Sony,3.6,18,Video-games
10300,14000,26%,Generic,N/A,N/A,Video-games
45820,55300,17%,Generic,N/A,N/A,Video-games
14990,39500,62%,Sony,N/A,N/A,Video-games
32980,45500,28%,Generic,N/A,N/A,Video-games
140000,N/A,N/A,N/A,N/A,N/A,Video-games
10900,15000,27%,Generic,N/A,N/A,Video-games
9980,14000,29%,Dobe,N/A,N/A,Video-games
96500,149740,36%,Sony,N/A,N/A,Video-games
72653,115590,37%,Microsoft,N/A,N/A,Video-games
22000,30000,27%,Sony,N/A,N/A,Video-games
28033,45500,38%,Generic,N/A,N/A,Video-games
49000,59000,17%,EA Sports,N/A,N/A,Video-games
25500,25550,1%,Playstation,4.7,71,Video-games
15500,65000,76%,Generic,4,9,Video-games
11990,N/A,N/A,ALIGHT CHARGER,4.4,19,Video-games
16400,28000,41%,N/A,N/A,N/A,Video-games
32200,37561,14%,Generic,3.7,11,Video-games
13700,65000,79%,Sony,4.6,12,Video-games
13500,30000,55%,Generic,5,3,Video-games
66993,74915,11%,Generic,N/A,N/A,Video-games
152000,175770,14%,Sony,4.4,7,Video-games
4800,15000,68%,Grip On,4.2,13,Video-games
54500,54550,1%,Electronic Arts,4.5,15,Video-games
245000,300000,18%,N/A,4.4,10,Video-games
51900,51950,1%,Santa Monica,4.7,21,Video-games
45000,68000,34%,Generic,4,2,Video-games
28033,45500,38%,Generic,4.9,8,Video-games
350500,350550,1%,Sony,3.5,8,Video-games
13150,20670,36%,Generic,4.2,65,Video-games
27000,75000,64%,EA Sports,5,4,Video-games
45000,80000,44%,Warner Bros.,4.8,5,Video-games
51950,57500,10%,Generic,4,7,Video-games
8300,25000,67%,Sony,4.5,2,Video-games
39500,39550,1%,Insomniac Games,4.5,28,Video-games
24759,29720,17%,N/A,4.6,16,Video-games
14000,20000,30%,Generic,2.5,2,Video-games
16400,28000,41%,N/A,N/A,N/A,Video-games
279500,279550,1%,Sony,4.6,5,Video-games
23500,23550,1%,Play,N/A,N/A,Video-games
13999,45000,69%,N/A,3.4,8,Video-games
37500,37550,1%,Rockstar Games,4.5,14,Video-games
19999,26999,26%,Playstation,4.5,51,Video-games
29999,38999,23%,Playstation,4.7,24,Video-games
169999,175000,3%,Sony,5,4,Video-games
17600,19488,10%,Generic,4.3,51,Video-games
13999,30000,53%,N/A,4.9,10,Video-games
14500,45000,68%,N/A,4.3,4,Video-games
28995,34999,17%,Activision,4.6,52,Video-games
15035,30000,50%,N/A,4.5,8,Video-games
13790,25790,47%,Generic,4.3,51,Video-games
145000,180000,19%,N/A,3.5,4,Video-games
290000,360000,19%,N/A,4.2,6,Video-games
10300,14000,26%,Generic,N/A,N/A,Video-games
45820,55300,17%,Generic,N/A,N/A,Video-games
14990,39500,62%,Sony,N/A,N/A,Video-games
32980,45500,28%,Generic,N/A,N/A,Video-games
140000,N/A,N/A,N/A,N/A,N/A,Video-games
10900,15000,27%,Generic,N/A,N/A,Video-games
9980,14000,29%,Dobe,N/A,N/A,Video-games
96500,149740,36%,Sony,N/A,N/A,Video-games
